Column Name,Data Type,Description,Unit,Value Encoding
Total Number of Settlements,Numeric,Count of settlements in the mouza,,Positive integers or NaN (no data)
Major Crop Wheat,Binary,,,"1=Present, 0=Absent, NaN=No agriculture data"
Major Crop Rice,Binary,,,"1=Present, 0=Absent, NaN=No agriculture data"
Major Crop Cotton,Binary,,,"1=Present, 0=Absent, NaN=No agriculture data"
Major Crop Sugarcane,Binary,,,"1=Present, 0=Absent, NaN=No agriculture data"
Major Crop Maize,Binary,,,"1=Present, 0=Absent, NaN=No agriculture data"
Major Crop Pulses,Binary,,,"1=Present, 0=Absent, NaN=No agriculture data"
Major Crop Orchard,Binary,,,"1=Present, 0=Absent, NaN=No agriculture data"
Major Crop Vegetables,Binary,,,"1=Present, 0=Absent, NaN=No agriculture data"
Irrigation System Canal,Binary,,,"1=Present, 0=Absent, NaN=No agriculture data"
Irrigation System River,Binary,,,"1=Present, 0=Absent, NaN=No agriculture data"
Irrigation System Tubwell/Well,Binary,,,"1=Present, 0=Absent, NaN=No agriculture data"
Irrigation System Ravine/Stream,Binary,,,"1=Present, 0=Absent, NaN=No agriculture data"
Irrigation System Spring/Karez,Binary,,,"1=Present, 0=Absent, NaN=No agriculture data"
Irrigation System Arid,Binary,,,"1=Present, 0=Absent, NaN=No agriculture data"
Irrigation System Flooding Torrent,Binary,,,"1=Present, 0=Absent, NaN=No agriculture data"
Irrigation System Others,Binary,,,"1=Present, 0=Absent, NaN=No agriculture data"
Water Course Improvement Scheme Canal Irrigation,Binary,,,"1=Yes (has scheme), 0=No, NaN=No data"
Total Number of Water Courses,Numeric,Count of water courses,,"Positive integers, 0=None when scheme exists, NaN=No scheme or no data"
Number of Improved Water Courses,Numeric,Count of improved water courses,,"Positive integers, 0=None when scheme exists, NaN=No scheme or no data"
Total Length of Improved Water Courses (Meters),Numeric,Total length in meters,Meters,"Positive numbers, 0=None when scheme exists, NaN=No scheme or no data"
Number of Drip Systems,Numeric,,,"Count of systems, 0=No systems used, NaN=No data"
Number of Sprinkler Systems,Numeric,,,"Count of systems, 0=No systems used, NaN=No data"
Number of Other Irrigation Systems,Numeric,,,"Count of systems, 0=No systems used, NaN=No data"
No Modern Irrigation System,Binary,,,"1=No modern systems used, NaN=No data"
Depth of Water Table in ft,Numeric,Depth to water table,Feet,"Positive numbers, NaN=No data"
Construction Type of Majority of Houses,Categorical,,,1=Bricked; 2=Mud; 3=Bricks & Mud (Mixed); 4=Others; NaN=No data
Status Type of Majority of Streets,Categorical,,,1=Metaled; 2=Cemented; 3=Bricked/Soling; 4=Dirt; NaN=No data
Waste Management,Binary,,,"1=Yes (has system), 0=No, NaN=No data"
Waste Management Type,Categorical,,,1=Government; 2=Private; 0=None; NaN=No data
Sweet Underground Water,Binary,,,"1=Yes (sweet water), 0=No (brackish), NaN=No data"
Distance to Sweet Water in km,Numeric,,Kilometers,"0=Sweet water available locally, >0=Distance to travel, NaN=No data"
Source of Drinking Water: Govt Piped Supply,Binary,,,"1=Available, 0=Not available, NaN=No water source data"
Source of Drinking Water: Personal Hand/Electric Pump,Binary,,,"1=Available, 0=Not available, NaN=No water source data"
Source of Drinking Water: Water Filtration Plant,Binary,,,"1=Available, 0=Not available, NaN=No water source data"
Source of Drinking Water: Reverse Osmosis Plant,Binary,,,"1=Available, 0=Not available, NaN=No water source data"
Source of Drinking Water: Pump on Canal,Binary,,,"1=Available, 0=Not available, NaN=No water source data"
Source of Drinking Water: Spring/Karez,Binary,,,"1=Available, 0=Not available, NaN=No water source data"
Source of Drinking Water: Well,Binary,,,"1=Available, 0=Not available, NaN=No water source data"
Source of Drinking Water: River/Stream,Binary,,,"1=Available, 0=Not available, NaN=No water source data"
Source of Drinking Water: Pond,Binary,,,"1=Available, 0=Not available, NaN=No water source data"
Source of Drinking Water: Others,Binary,,,"1=Available, 0=Not available, NaN=No water source data"
Toilet Facility in Majority of Houses,Categorical,,,1=Inside the House; 2=Open Place; NaN=No data
Sewerage System: Cemented Drain,Categorical,,,1=All; 2=Mostly; 3=Same (Equal); 4=None; NaN=No data
Sewerage System: Coverage,Categorical,,,1=All; 2=Mostly; 3=Same (Equal); 4=None; NaN=No data
Population Welfare Centre Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No health facility data"
Population Welfare Centre Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest facility, NaN=No data"
Basic Health Unit Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No health facility data"
Basic Health Unit Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest facility, NaN=No data"
Rural Health Centre Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No health facility data"
Rural Health Centre Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest facility, NaN=No data"
NGO Dispensary Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No health facility data"
NGO Dispensary Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest facility, NaN=No data"
Child/Mother Care Centre Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No health facility data"
Child/Mother Care Centre Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest facility, NaN=No data"
Private Doctor (MBBS) Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No health facility data"
Private Doctor (MBBS) Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest facility, NaN=No data"
Hospital/Dispensary Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No health facility data"
Hospital/Dispensary Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest facility, NaN=No data"
Facility of Midwife Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No health facility data"
Facility of Midwife Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest facility, NaN=No data"
Boys Primary School Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No education data for this gender"
Boys Primary School Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest institution, NaN=No data"
Boys Middle School Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No education data for this gender"
Boys Middle School Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest institution, NaN=No data"
Boys High/Higher Secondary School Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No education data for this gender"
Boys High/Higher Secondary School Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest institution, NaN=No data"
Boys College Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No education data for this gender"
Boys College Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest institution, NaN=No data"
Boys Vocational Institute Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No education data for this gender"
Boys Vocational Institute Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest institution, NaN=No data"
Boys Religious Institution Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No education data for this gender"
Boys Religious Institution Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest institution, NaN=No data"
Girls Primary School Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No education data for this gender"
Girls Primary School Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest institution, NaN=No data"
Girls Middle School Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No education data for this gender"
Girls Middle School Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest institution, NaN=No data"
Girls High/Higher Secondary School Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No education data for this gender"
Girls High/Higher Secondary School Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest institution, NaN=No data"
Girls College Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No education data for this gender"
Girls College Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest institution, NaN=No data"
Girls Vocational Institute Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No education data for this gender"
Girls Vocational Institute Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest institution, NaN=No data"
Girls Religious Institution Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No education data for this gender"
Girls Religious Institution Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest institution, NaN=No data"
Male Cricket Playground,Binary,,,"1=Playground exists, 0=Does not exist, NaN=No playground data for this gender"
Male Hockey Playground,Binary,,,"1=Playground exists, 0=Does not exist, NaN=No playground data for this gender"
Male Football Playground,Binary,,,"1=Playground exists, 0=Does not exist, NaN=No playground data for this gender"
Male Volleyball Playground,Binary,,,"1=Playground exists, 0=Does not exist, NaN=No playground data for this gender"
Male Kabbady Playground,Binary,,,"1=Playground exists, 0=Does not exist, NaN=No playground data for this gender"
Male Other Sports Playground,Binary,,,"1=Playground exists, 0=Does not exist, NaN=No playground data for this gender"
Male None Playground,Binary,,,"1=Playground exists, 0=Does not exist, NaN=No playground data for this gender"
Female Cricket Playground,Binary,,,"1=Playground exists, 0=Does not exist, NaN=No playground data for this gender"
Female Hockey Playground,Binary,,,"1=Playground exists, 0=Does not exist, NaN=No playground data for this gender"
Female Football Playground,Binary,,,"1=Playground exists, 0=Does not exist, NaN=No playground data for this gender"
Female Volleyball Playground,Binary,,,"1=Playground exists, 0=Does not exist, NaN=No playground data for this gender"
Female Kabbady Playground,Binary,,,"1=Playground exists, 0=Does not exist, NaN=No playground data for this gender"
Female Other Sports Playground,Binary,,,"1=Playground exists, 0=Does not exist, NaN=No playground data for this gender"
Female None Playground,Binary,,,"1=Playground exists, 0=Does not exist, NaN=No playground data for this gender"
Dispensary/Veterinary Centre Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No veterinary facility data"
Dispensary/Veterinary Centre Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest facility, NaN=No data"
Private Veterinary Facility Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No veterinary facility data"
Private Veterinary Facility Distance (km),Numeric,,Kilometers,"0=Available locally, >0=Distance to nearest facility, NaN=No data"
Mobile Veterinary Dispenser Available,Binary,,,"1=Available in mouza, 0=Not available, NaN=No veterinary facility data"
No Farms,Binary,Mutually exclusive with farm count columns,,"1=No farms in mouza, 0=Has farms, NaN=No farm data"
Number of Poultry Farms,Numeric,,,"Count of poultry farms, 0=No farms/None when No Farms=1, NaN=No data"
Number of Livestock/Dairy Farms,Numeric,,,"Count of livestock/dairy farms, 0=No farms/None when No Farms=1, NaN=No data"
Number of Fish Farms,Numeric,,,"Count of fish farms, 0=No farms/None when No Farms=1, NaN=No data"
Electricity Availability,Categorical,,,1=All (full coverage); 2=Mostly (partial coverage); 3=Some (limited coverage); 4=None (no electricity); NaN=No data
Distance to Electricity (km),Numeric,,Kilometers,"0=Has electricity (Availability 1-3), >0=Distance when no electricity (Availability 4), NaN=No data"
Alternate Source: Solar Energy,Binary,Solar energy panels/systems,,"1=Source available, 0=Not available, NaN=No alternate source data"
Alternate Source: Bio Gas,Binary,Biogas systems,,"1=Source available, 0=Not available, NaN=No alternate source data"
Alternate Source: Generator,Binary,Diesel/petrol generators,,"1=Source available, 0=Not available, NaN=No alternate source data"
Alternate Source: Others,Binary,Other alternate electricity sources,,"1=Source available, 0=Not available, NaN=No alternate source data"
No Alternate Electricity Source,Binary,Mutually exclusive with other alternate source columns,,"1=No alternate sources, 0=Has alternate sources, NaN=No data"
Fuel: Sui Gas (Natural Gas),Binary,Natural gas availability,,"1=Available, 0=Not available, NaN=No fuel data"
Fuel: LPG,Binary,Liquefied petroleum gas availability,,"1=Available, 0=Not available, NaN=No fuel data"
Fuel: Kerosene Oil,Binary,Kerosene oil availability,,"1=Available, 0=Not available, NaN=No fuel data"
Fuel: Wood,Binary,Wood fuel availability,,"1=Available, 0=Not available, NaN=No fuel data"
Fuel: Coal,Binary,Coal fuel availability,,"1=Available, 0=Not available, NaN=No fuel data"
Road Type,Categorical,Type of road facility to the mouza,,Metaled=Metaled road; Cemented/Concrete=Cemented or concrete road; Brick Road=Brick road; Unmetalled=Unmetalled road
Road Distance/Length (km),Numeric,Distance or length of road (context depends on road type),Kilometers,"Numeric value representing distance or length in kilometers, NaN=No data"
Media: Radio,Binary,Radio availability,,"1=Available, 0=Not available, NaN=No media data"
Media: TV,Binary,Television availability,,"1=Available, 0=Not available, NaN=No media data"
Media: Cable,Binary,Cable TV availability,,"1=Available, 0=Not available, NaN=No media data"
Media: Newspaper,Binary,Newspaper availability,,"1=Available, 0=Not available, NaN=No media data"
No Media Sources,Binary,Mutually exclusive with other media source columns,,"1=No media sources, 0=Has media sources, NaN=No data"
