Name of District,Name of Province,Name of Division,Settlement_Weighted,Agriculture_Livestock_Weighted,Housing_Amenities_Weighted,Infrastructure_Services_Weighted,Education_Weighted,Health_Weighted,Recreation_Sports_Weighted,Social_Community_Weighted,Industry_Weighted,Credit_Finance_Weighted,Disaster_Resilience_Weighted,Composite_Weighted_Score
BANNU DISTRICT,KHYBER PAKHTUNKHWA,BANNU DIVISION,7.666666666666666,6.720000000000001,4.733333333333333,5.840000000000001,7.699999999999999,6.999999999999999,1.5999999999999999,3.84,3.626666666666667,3.1666666666666665,0.9866666666666666,52.87999999999999
LAKKI MARWAT DISTRICT,KHYBER PAKHTUNKHWA,BANNU DIVISION,2.266666666666667,5.2,4.3999999999999995,5.2,10.0,7.599999999999998,3.2,3.4,3.1466666666666665,2.966666666666667,1.2,48.580000000000005
DERA ISMAIL KHAN DISTRICT,KHYBER PAKHTUNKHWA,DERA ISMAIL KHAN DIVISION,7.933333333333334,6.64,4.200000000000001,4.96,6.8,5.3999999999999995,2.9333333333333336,2.76,6.08,1.7333333333333336,0.8266666666666668,50.26666666666667
TANK DISTRICT,KHYBER PAKHTUNKHWA,DERA ISMAIL KHAN DIVISION,1.4000000000000004,4.56,3.8000000000000003,5.279999999999999,10.4,6.3999999999999995,1.9333333333333336,3.5199999999999996,2.293333333333333,2.4333333333333336,1.3466666666666667,43.36666666666666
ABBOTTABAD DISTRICT,KHYBER PAKHTUNKHWA,HAZARA DIVISION,6.4,4.719999999999999,6.133333333333333,7.68,11.299999999999999,7.5,2.033333333333333,2.5200000000000005,2.88,2.166666666666667,0.56,53.89333333333333
BATAGRAM DISTRICT,KHYBER PAKHTUNKHWA,HAZARA DIVISION,0.5333333333333334,3.8399999999999994,4.866666666666667,6.24,9.799999999999999,5.599999999999999,0.10000000000000009,4.839999999999999,1.4400000000000004,1.666666666666667,0.18666666666666676,39.11333333333333
HARIPUR DISTRICT,KHYBER PAKHTUNKHWA,HAZARA DIVISION,5.133333333333333,6.079999999999998,6.333333333333333,8.32,7.8,5.3,2.9000000000000004,3.8800000000000003,4.8533333333333335,2.266666666666667,0.32000000000000006,53.18666666666666
MANSEHRA DISTRICT,KHYBER PAKHTUNKHWA,HAZARA DIVISION,7.6000000000000005,6.0,5.666666666666667,8.079999999999998,11.6,7.8,0.6666666666666665,3.959999999999999,2.3466666666666667,2.3333333333333335,0.10666666666666669,56.16
TORGHAR DISTRICT,KHYBER PAKHTUNKHWA,HAZARA DIVISION,1.8000000000000005,3.4399999999999995,1.333333333333333,2.72,2.4000000000000004,2.199999999999999,0.8666666666666668,3.4399999999999995,2.1866666666666665,4.866666666666667,1.36,26.613333333333333
HANGU DISTRICT,KHYBER PAKHTUNKHWA,KOHAT DIVISION,0.46666666666666634,3.28,7.2,9.439999999999998,12.6,10.6,4.433333333333334,3.3600000000000003,2.24,3.966666666666667,1.2666666666666666,58.85333333333333
