Name of District,Name of Province,Name of Division,Total Number of Settlements,Total Villages,Development_Index,Housing_Score,Electricity_Score,Water_Score,Sanitation_Score,Connectivity_Score
LAHORE DISTRICT,PUNJAB,LAHORE DIVISION,873,363,0.7610003165558722,0.914529914529914,0.982905982472934,0.877492877492878,0.814814814814815,0.9145299145299145
MIRPUR DISTRICT,AZAD JAMMU AND KASHMIR,MIRPUR DIVISION,897,244,0.7133520074360411,0.781512605042017,0.9873949582941179,0.995798319327731,0.5588235294117645,0.9852941176470584
GUJRANWALA DISTRICT,PUNJAB,GUJRANWALA DIVISION,1387,813,0.6846828376864335,0.931119311,0.997539975,0.945879458794588,0.5959409592601475,0.95206956369318
SIALKOT DISTRICT,PUNJAB,GUJRANWALA DIVISION,1950,1507,0.6808254815629964,0.936314363143632,0.9925675675675675,0.973737373737374,0.5931023227236321,0.934752804358691
GUJRAT DISTRICT,PUNJAB,GUJRANWALA DIVISION,1720,1006,0.6768444621052729,0.954500494559842,0.9891089108910887,0.961614173228346,0.581775851654635,0.9279368210834156
KOTLI DISTRICT,AZAD JAMMU AND KASHMIR,MIRPUR DIVISION,1292,227,0.6718898385954417,0.461538461538462,0.999999999726496,0.995726495726496,0.5149572651324785,0.982905982905983
POONCH DISTRICT,AZAD JAMMU AND KASHMIR,RAWALAKOT DIVISION,912,134,0.6642156862875817,0.389705882352941,1.0,1.0,0.5330882355,0.9485294117647061
MANDI BAHAUDDIN DISTRICT,PUNJAB,GUJRANWALA DIVISION,839,433,0.6530670780892727,0.985401459854015,0.990243902439024,0.927007299,0.5352441991585365,0.924461456293395
SHEIKHUPURA DISTRICT,PUNJAB,LAHORE DIVISION,1502,667,0.6503487492317622,0.817589576547231,0.9739413682443,0.968203497615262,0.5441622361425484,0.898306190625326
BAGH DISTRICT,AZAD JAMMU AND KASHMIR,RAWALAKOT DIVISION,739,140,0.6460317461111111,0.378571428571429,0.978571428857143,1.0,0.5392857144285715,0.9571428571428575
HAFIZABAD DISTRICT,PUNJAB,GUJRANWALA DIVISION,640,422,0.6399228011679072,0.823821339950372,0.985111662186104,0.900744416873449,0.5595533496339951,0.952853598014888
NAROWAL DISTRICT,PUNJAB,GUJRANWALA DIVISION,1473,1245,0.639246417272138,0.857265692175408,0.9922613929492693,0.996569468267582,0.503420544101032,0.922225373864261
SUDHNOTI DISTRICT,AZAD JAMMU AND KASHMIR,RAWALAKOT DIVISION,380,61,0.6357012750455372,0.0,1.0,1.0,0.4508196721311475,1.0
MUZAFFARABAD DISTRICT,AZAD JAMMU AND KASHMIR,MUZAFARABAD DIVISION,1760,400,0.6335251262060552,0.454326923076923,0.98072289146988,0.997596153846154,0.5336104033076925,0.9591346153846154
MALAKAND PROTECTED AREA,KHYBER PAKHTUNKHWA,MALAKAND DIVISION,296,34,0.630718954248366,0.529411764705882,1.0,1.0,0.5294117647058824,1.0
RAWALPINDI DISTRICT,PUNJAB,RAWALPINDI DIVISION,3313,1202,0.6253002138800849,0.676418439716312,0.94514767886076,0.969257045260461,0.538454204204204,0.905937142442211
BHIMBER DISTRICT,AZAD JAMMU AND KASHMIR,MIRPUR DIVISION,1219,210,0.62393162388604,0.466666666666667,0.99487179474359,0.979487179487179,0.5256410254358975,0.917948717948718
ISLAMABAD DISTRICT,ISLAMABAD CAPITAL TERRITORY,FEDERAL CAPITAL AREA,529,195,0.6171409079905813,0.805555555555556,1.0,0.972222222222222,0.6111111111111109,0.5641711229946524
JHELUM DISTRICT,PUNJAB,RAWALPINDI DIVISION,975,583,0.6141810259342444,0.777183600713013,0.987522281639929,0.837789661319073,0.528520499108734,0.8903743315508025
CHARSADDA DISTRICT,KHYBER PAKHTUNKHWA,PESHAWAR DIVISION,674,203,0.6092140920867208,0.273170731707317,0.951219512195122,0.995121951219512,0.578048780487805,0.951219512195122
FAISALABAD DISTRICT,PUNJAB,FAISALABAD DIVISION,1870,842,0.6079213184476342,0.824162679425837,0.995215311090909,0.399521531100478,0.5586124401913874,0.9180622009569375
SWABI DISTRICT,KHYBER PAKHTUNKHWA,MARDAN DIVISION,413,156,0.6072186836518046,0.471337579617834,0.949044585987261,0.993630573248408,0.5159235668789807,0.8057324840764335
SARGODHA DISTRICT,PUNJAB,SARGODHA DIVISION,1813,846,0.6062864502916177,0.818955043,0.9733009708737861,0.732769044740024,0.535611007291781,0.9375
NAGAR DISTRICT,GILGIT BALTISTAN,GILGIT DIVISION,160,39,0.6039886039886043,0.564102564102564,0.8461538458717951,0.923076923076923,0.5769230769230775,0.653846153846154
HUNZA DISTRICT,GILGIT BALTISTAN,GILGIT DIVISION,132,46,0.6,0.355555555555556,0.9333333333333331,1.0,0.588888888888889,0.822222222222222
KASUR DISTRICT,PUNJAB,LAHORE DIVISION,2545,635,0.5994199745831069,0.704730831973899,0.941272430668842,0.864600326264274,0.513050570778956,0.898858075040783
HANGU DISTRICT,KHYBER PAKHTUNKHWA,KOHAT DIVISION,195,49,0.598639455782313,0.306122448979592,0.9795918367346941,0.979591836734694,0.5510204081632655,0.9183673469387755
CHAKWAL DISTRICT,PUNJAB,RAWALPINDI DIVISION,945,449,0.5984509463647326,0.607228915662651,0.9592326140551559,0.9375,0.515429180620482,0.947368421052632
TOBA TEK SINGH DISTRICT,PUNJAB,FAISALABAD DIVISION,1125,544,0.5981959819069291,0.826568265682657,0.979704797047971,0.533210332,0.5359778595,0.9778597785977861
PESHAWAR DISTRICT,KHYBER PAKHTUNKHWA,PESHAWAR DIVISION,821,315,0.5960866527812718,0.163522012578616,0.9182389937106921,0.949685535,0.556603773789308,0.9150943396226415
SWAT DISTRICT,KHYBER PAKHTUNKHWA,MALAKAND DIVISION,760,212,0.5959119496855347,0.216981132075472,0.9009433962264151,1.0,0.641509433962264,0.8726415094339626
NOWSHERA DISTRICT,KHYBER PAKHTUNKHWA,PESHAWAR DIVISION,355,159,0.5955901386018804,0.360544217687075,0.97945205479452,0.972789115646258,0.5306122448979596,0.886986301369863
NANKANA SAHIB DISTRICT,PUNJAB,LAHORE DIVISION,957,419,0.5908962397704269,0.569974554707379,0.989821882951654,0.816793893,0.522900763510178,0.9173027989821885
PAKPATTAN DISTRICT,PUNJAB,SAHIWAL DIVISION,1247,580,0.58946360151341,0.58448275862069,0.967241379034483,0.93448275862069,0.5051724138448275,0.9405172413793105
QUETTA DISTRICT,BALOCHISTAN,QUETTA DIVISION,328,68,0.5887230514228856,0.119402985074627,0.7761194029850741,0.925373134328358,0.559701492597015,0.865671641791045
GHANCHE DISTRICT,GILGIT BALTISTAN,BALTISTAN DIVISION,307,58,0.5848961484228675,0.0172413793103448,0.9655172413793106,1.0,0.49999999999999983,0.894736842105263
MULTAN DISTRICT,PUNJAB,MULTAN DIVISION,2449,534,0.5802012733620867,0.571164510166359,0.9426987060998149,0.818853974121996,0.5064695009242145,0.940850277264325
ABBOTTABAD DISTRICT,KHYBER PAKHTUNKHWA,HAZARA DIVISION,1594,344,0.5765679719691179,0.174785100286533,0.997134670487106,0.98567335243553,0.49999999993553,0.9670487106017189
SAHIWAL DISTRICT,PUNJAB,SAHIWAL DIVISION,1383,531,0.5761006289350106,0.59622641509434,0.9641509433962261,0.781132075471698,0.4896226416792455,0.871698113207547
MARDAN DISTRICT,KHYBER PAKHTUNKHWA,MARDAN DIVISION,931,169,0.5727783067037793,0.337209302325581,0.947368421052631,0.982558139534884,0.5523255813953489,0.709302325767442
HARIPUR DISTRICT,KHYBER PAKHTUNKHWA,HAZARA DIVISION,1308,352,0.5636582800443163,0.304347826086957,0.9855491329479771,0.994202898550725,0.4666666666811595,0.9320809248554915
GHIZER DISTRICT,GILGIT BALTISTAN,GILGIT DIVISION,377,105,0.5608465608253969,0.2,0.971428571428571,1.0,0.5047619046666665,0.7142857142857145
HATTIAN BALA DISTRICT,AZAD JAMMU AND KASHMIR,MUZAFARABAD DIVISION,535,165,0.5569105691165313,0.097560976,0.9939024390487801,0.99390243902439,0.5091463414634145,0.8567073169268296
VEHARI DISTRICT,PUNJAB,MULTAN DIVISION,1844,777,0.5556391094486762,0.546632124352332,0.9496774193548391,0.832258065,0.514168374,0.9476744187299739
GILGIT DISTRICT,GILGIT BALTISTAN,GILGIT DIVISION,139,53,0.5555555555429769,0.132075471698113,0.924528301886792,1.0,0.5377358490566035,0.7264150943396225
MANSEHRA DISTRICT,KHYBER PAKHTUNKHWA,HAZARA DIVISION,1682,391,0.5547052154444443,0.247448979591837,0.946428571428572,0.979591836734694,0.478316326653061,0.926020408163265
OKARA DISTRICT,PUNJAB,SAHIWAL DIVISION,2246,930,0.553165067992642,0.515625,0.9230769230769229,0.890746934225195,0.4922415227672605,0.883630289532294
MIANWALI DISTRICT,PUNJAB,SARGODHA DIVISION,606,256,0.5525485404227246,0.597345132743363,0.859030837004406,0.934497816593886,0.5022123893805313,0.929203539823009
